Date_Collected,Date_Processed,Processor,Farm,Sample_Location,Replicate,Time,Sample_ID,Subsample_ID,Size_Class,Subsample,Nematode,Annelid,Clam,HSC_egg,Gastropod,Copepod,Ostracod,Foraminifera,Empty_oyster,Single_clam_valve,Empty_gastropod,Empty_ostracod,Exoskeleton,Isopod,Amphipod,Unknown Star Organism,Unknown,Notes_during_Collection,Notes_during_Processing
6/2/20,11/11/20,Elizabeth,B,Control,1,11:57,Farm B Control 1,B-Control1-2mm,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,1 full clam valve
6/2/20,11/11/20,Elizabeth,B,Control,1,11:57,Farm B Control 1,B-Control1-1mm,1,1,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,3 whole clam valves
6/2/20,11/11/20,Elizabeth,B,Control,1,11:57,Farm B Control 1,B-Control1-0.5mm,0.5,1,16,2,4,0,0,0,0,0,0,3,2,0,0,0,0,0,0,,"4*4 nematodes; 3 single clam valve; one of the clams is full but gaping and it contains tissues. I think both empty gastropod shells in 0.5mm are the same species. For first shell, see pictures: FarmB_Control1_0.5mm_gastropodshell, FarmB_Control1_0.5mm_gastropodshell1. Second picture taken with above light source. For second shell, see FarmB_Control1_0.5mm_gastropodshell2"
6/2/20,11/12/20,Elizabeth,B,Control,2,12:00,Farm B Control 2,B-Control2-2mm,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,"1 full clam valve; 1 bivalve that looks like a razor mussel and there is tissue inside. See images: FarmB_Control2_2mm_bivalveseam, FarmB_Control2_2mm_bivalvetissue"
6/2/20,11/12/20,Elizabeth,B,Control,2,12:00,Farm B Control 2,B-Control2-1mm,1,1,17,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,2 full clam valves
6/2/20,11/12/20,Elizabeth,B,Control,2,12:00,Farm B Control 2,B-Control2-0.5mm,0.5,1,48,4,1,0,0,0,1,0,0,7,1,0,0,0,0,0,0,,12*4 nematodes; 7 full single clam valves. Empty gastropod: FarmB_Control2_0.5mm_gastropodshell
6/2/20,11/12/20,Elizabeth,B,Control,3,12:00,Farm B Control 3,B-Control3-2mm,2,1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,,Gastropods are eastern mud snail; 1 single clam shell
6/2/20,11/12/20,Elizabeth,B,Control,3,12:00,Farm B Control 3,B-Control3-1mm,1,1,20,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,,The empty gastropod shell is the same type as the one from FarmB_Alley2_1mm_gastropod; 2 single clam valves
6/2/20,11/12/20,Elizabeth,B,Control,3,12:00,Farm B Control 3,B-Control3-0.5mm,0.5,1,48,0,1,0,0,0,1,0,0,3,3,0,0,0,0,0,0,,12*4 nematodes; empty gastropod is an eastern mud snail; 3 single clam valves
6/2/20,11/9/20,Elizabeth,B,Alley,1,11:47,Farm B Alley 1,B-Alley1-2mm,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,
6/2/20,11/9/20,Elizabeth,B,Alley,1,11:47,Farm B Alley 1,B-Alley1-1mm,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6/2/20,11/9/20,Elizabeth,B,Alley,1,11:47,Farm B Alley 1,B-Alley1-0.5mm,0.5,1,52,5,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,, 13*4 nematodes; 2 single clam valves. image of fecal pellets: FarmB_Alley1_0.5mm_mystery
6/2/20,11/11/20,Elizabeth,B,Alley,2,11:50,Farm B Alley 2,B-Alley2-2mm,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3 pieces of empty tubes but no worms
6/2/20,11/11/20,Elizabeth,B,Alley,2,11:50,Farm B Alley 2,B-Alley2-1mm,1,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,not an organism but really cool spikey thing (FarmB_Alley2_1mm_cool). empty gastropod pic is FarmB_Alley2_1mm_gastropod
6/2/20,11/11/20,Elizabeth,B,Alley,2,11:50,Farm B Alley 2,B-Alley2-0.5mm,0.5,1,32,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,8*4 nematodes;
6/2/20,11/12/20,Elizabeth,B,Alley,3,11:50,Farm B Alley 3,B-Alley3-2mm,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,gastropods are eastern mud snail
6/2/20,11/12/20,Elizabeth,B,Alley,3,11:50,Farm B Alley 3,B-Alley3-1mm,1,1,12,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,2 single clam valve
6/2/20,11/12/20,Elizabeth,B,Alley,3,11:50,Farm B Alley 3,B-Alley3-0.5mm,0.5,1,40,3,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,,10*4 nematodes; 2 single clam valves; mystery shrimpy organism: FarmB_Alley3_0.5mm_mystery. Dave says mystery organism is amphipod.
6/2/20,11/12/20,Elizabeth,B,Rack,1,11:50,Farm B Rack 1,B-Rack1-2mm,2,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,,Gastropods are eastern mud snails; one bivalve that has no tissues but valves are still attached: FarmB_UnderRack_2mm_bivalve
6/2/20,11/12/20,Elizabeth,B,Rack,1,11:50,Farm B Rack 1,B-Rack1-1mm,1,1,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,2 single clam valves
6/2/20,11/12/20,Elizabeth,B,Rack,1,11:50,Farm B Rack 1,B-Rack1-0.5mm,0.5,1,48,2,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,,12*4 nematodes; 1 single clam valve; one empty gastropod shell is an eastern mud snail and the other empty gastropod is the same shell as species from FarmB_Alley2_1mm_gastropod
6/2/20,11/11/20,Elizabeth,B,Rack,2,11:53,Farm B Rack 2,B-Rack2-2mm,2,1,1,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,,One gastropod is giant! Part of it is above water so it was difficult to get a high quality image: FarmB_UnderRack_2mm_gastropod2. Is is most definitely an eastern mud snail. All snails are same species. 1 full clam valve. Many long tubes but do not appear to have worm inside (dark tube).
6/2/20,11/11/20,Elizabeth,B,Rack,2,11:53,Farm B Rack 2,B-Rack2-1mm,1,1,19,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
6/2/20,11/11/20,Elizabeth,B,Rack,2,11:53,Farm B Rack 2,B-Rack2-0.5mm,0.5,1,56,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,14*4 nematodes;
6/2/20,11/11/20,Elizabeth,B,Rack,3,11:56,Farm B Rack 3,B-Rack3-2mm,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,"BIG polychaete. picture of 2mm ""whelk"":  FarmB_UnderRack_2mm_gastropod, FarmB_UnderRack_2mm_gastropod1; Dave says it doesn't look quite like boonea impressa, might be mud snail (ilyanassa obsoleta)"
6/2/20,11/11/20,Elizabeth,B,Rack,3,11:56,Farm B Rack 3,B-Rack3-1mm,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6/2/20,11/11/20,Elizabeth,B,Rack,3,11:56,Farm B Rack 3,B-Rack3-0.5mm,0.5,1,40,8,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,10*4 nematodes; gastropod shell appears to be same species as earlier today
6/2/20,1/27/21,Elizabeth,A,Control,1,12:08,Farm A Control 1,A-Control1-2mm,2,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6/2/20,1/27/21,Elizabeth,A,Control,1,12:08,Farm A Control 1,A-Control1-1mm,1,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
6/2/20,1/27/21,Elizabeth,A,Control,1,12:08,Farm A Control 1,A-Control1-0.5mm,0.5,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6/2/20,1/25/21,Elizabeth,A,Control,2,12:10,Farm A Control 2,A-Control2-2mm,2,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Pebbles.
6/2/20,1/25/21,Elizabeth,A,Control,2,12:10,Farm A Control 2,A-Control2-1mm,1,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Nematodes present.
6/2/20,1/25/21,Elizabeth,A,Control,2,12:10,Farm A Control 2,A-Control2-0.5mm,0.5,1,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Nematodes present.
6/2/20,1/18/21,Elizabeth,A,Control,3,12:09,Farm A Control 3,A-Control3-2mm,2,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,There was one single full (unbroken but not attached to second valve) clam valve.
6/2/20,1/18/21,Elizabeth,A,Control,3,12:09,Farm A Control 3,A-Control3-1mm,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Some nematodes
6/2/20,1/18/21,Elizabeth,A,Control,3,12:09,Farm A Control 3,A-Control3-0.5mm,0.5,1,NA,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,,"Nematodes present. One unknown organism looks kind of like an ant - See images: FarmA_Control3_0.5mm_unknown, FarmA_Control3_0.5mm_unknownbottom, FarmA_Control3_0.5mm_unknowntop, FarmA_Control3_0.5mm_unknowntop2. Looks somewhat similar to isopod we've seen from Doris genus, but this organism is more narrow than the Doris images we've captured. SEcond unknown organism is different organism. See images: FarmA_Control3_0.5mm_unknown2, FarmA_Control3_0.5mm_unknown2.1. Picutre of copepod is: FarmA_Control3_0.5mm_copepod. Back half of copepod is missing. The copepod looks like Plankton from Spongebob Squarepants."
6/2/20,1/18/21,Elizabeth,A,Alley,1,12:56,Farm A Alley 1,A-Alley1-2mm,2,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Muddy; mud snails; still wet sediment,
6/2/20,1/18/21,Elizabeth,A,Alley,1,12:56,Farm A Alley 1,A-Alley1-1mm,1,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Muddy; mud snails; still wet sediment,
6/2/20,1/18/21,Elizabeth,A,Alley,1,12:56,Farm A Alley 1,A-Alley1-0.5mm,0.5,1,NA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Muddy; mud snails; still wet sediment,Clam is the most common type we've been seeing
6/2/20,1/27/21,Elizabeth,A,Alley,2,11:58,Farm A Alley 2,A-Alley2-2mm,2,1,NA,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,,Single_clam_valve is a single oyster valve. Gastropod is the large snail species we've been seeing.
6/2/20,1/27/21,Elizabeth,A,Alley,2,11:58,Farm A Alley 2,A-Alley2-1mm,1,1,NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
6/2/20,1/27/21,Elizabeth,A,Alley,2,11:58,Farm A Alley 2,A-Alley2-0.5mm,0.5,1,NA,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,,
6/2/20,1/20/21,Elizabeth,A,Alley,3,12:00,Farm A Alley 3,A-Alley3-2mm,2,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,One single clam valve: FarmA_Alley3_2mm_valve. One tubeworm tube but no evidence of worm inside.
6/2/20,1/20/21,Elizabeth,A,Alley,3,12:00,Farm A Alley 3,A-Alley3-1mm,1,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Valve is the most common species we've been finding. Nematodes present.
6/2/20,1/20/21,Elizabeth,A,Alley,3,12:00,Farm A Alley 3,A-Alley3-0.5mm,0.5,1,NA,14,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,,Two single valves are the most common species we see in samples. 
6/2/20,1/18/21,Elizabeth,A,Rack,1,12:03,Farm A Rack 1,A-Rack1-2mm,2,1,NA,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,,"Empty gastropod is slipper shell - might be empty common slipper shell (Crepidula fornicata) - Farm A_Rack1_2mm_unknownshell, Farm A_Rack1_2mm_unknownshellbottom. Does this count as an animal for our analysis? Single clam valve might be little surf clam (mulinia lateralis), or northern quahog (merceneria merceneria). It is one of the common clams in these samples - Farm A_Rack1_2mm_singlevalve. Clam looks similar to coquina clam (Donax variabilis), but unsure what it is - FarmA_Rack1_2mm_clam1. Clam still contains flesh and both valves are still connected and intact. Gastropod contains tissues and is one of the species common to these samples - FarmA_Rack1_2mm_gastropod. Many empty worm tubes."
6/2/20,1/18/21,Elizabeth,A,Rack,1,12:03,Farm A Rack 1,A-Rack1-1mm,1,1,NA,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,Single clam valve species is same as that found in 2mm. Nematodes present.
6/2/20,1/18/21,Elizabeth,A,Rack,1,12:03,Farm A Rack 1,A-Rack1-0.5mm,0.5,1,NA,4,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,,Empty gastropod shell is one of the common types we've seen in these samples - FarmA_Rack1_0.5mm_gastropod. Could it be Melampus bidentatus?
6/2/20,1/22/21,Elizabeth,A,Rack,2,12:06,Farm A Rack 2,A-Rack2-2mm,2,1,NA,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,,Picture of first worm is: FarmA_Rack2_2mm_worm. Picture of second worm is: FarmA_Rack2_2mm_worm2. Tubeworm tubes present. Picture of two single clam valves: FarmA_Rack2_2mm_valves. Note tha valves are different sizes so likely different individuals. Snails all appear to be same species. Three snails are about 2cm (too large to take image). Image of smaller snail: FarmA_Rack2_2mm_snail.
6/2/20,1/22/21,Elizabeth,A,Rack,2,12:06,Farm A Rack 2,A-Rack2-1mm,1,1,NA,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,Picture of two worms: FarmA_Rack2_1mm_worms.
6/2/20,1/22/21,Elizabeth,A,Rack,2,12:06,Farm A Rack 2,A-Rack2-0.5mm,0.5,1,NA,9,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,,"Picture of empty snail shell is: FarmA_Rack2_0.5mm_snail. Pictures of second empty snail are: FarmA_Rack2_0.5mm_snail2, FarmA_Rack2_0.5mm_snail3."
6/2/20,1/27/21,Elizabeth,A,Rack,3,12:13,Farm A Rack 3,A-Rack3-2mm,2,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Snail is the common large species we have seen
6/2/20,1/27/21,Elizabeth,A,Rack,3,12:13,Farm A Rack 3,A-Rack3-1mm,1,1,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Snail is the common large species we have seen. Clam is most common species we see.
6/2/20,1/27/21,Elizabeth,A,Rack,3,12:13,Farm A Rack 3,A-Rack3-0.5mm,0.5,1,NA,18,1,0,0,0,0,0,0,6,4,0,0,0,0,0,0,,
6/2/20,1/29/21,Elizabeth,C,Control,1,12:05,Farm C Control 1,C-Control1-2mm,2,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Empty tube worm tubes: One very long one (~3cm) and several other fragmented tubes
6/2/20,1/29/21,Elizabeth,C,Control,1,12:05,Farm C Control 1,C-Control1-1mm,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6/2/20,1/29/21,Elizabeth,C,Control,1,12:05,Farm C Control 1,C-Control1-0.5mm,0.5,1,NA,3,1,0,0,1,1,0,0,4,2,0,0,0,0,0,0,,"I think it's a copepod but doublecheck picture and ask for help: FarmC_Control1_0.5mm_amphipod1, FarmC_Control1_0.5mm_amphipod2"
6/2/20,1/27/21,Elizabeth,C,Control,2,12:10,Farm C Control 2,C-Control2-2mm,2,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6/2/20,1/27/21,Elizabeth,C,Control,2,12:10,Farm C Control 2,C-Control2-1mm,1,1,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,Clam valves are both the small species that we commonly see.
6/2/20,1/27/21,Elizabeth,C,Control,2,12:10,Farm C Control 2,C-Control2-0.5mm,0.5,1,NA,1,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,,Clams and single valves were the small specie we've been commonly seeing.
6/2/20,1/22/21,Elizabeth,C,Control,3,12:10,Farm C Control 3,C-Control3-2mm,2,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Picture of clam valve is: FarmC_Control3_2mm_valve. One tube from a tubeworm: FarmC_Control3_2mm_tube.
6/2/20,1/22/21,Elizabeth,C,Control,3,12:10,Farm C Control 3,C-Control3-1mm,1,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Picture of clam is: FarmC_Control3_1mm_clam.
6/2/20,1/22/21,Elizabeth,C,Control,3,12:10,Farm C Control 3,C-Control3-0.5mm,0.5,1,NA,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,
6/2/20,1/20/21,Elizabeth,C,Alley,1,12:20,Farm C Alley 1,C-Alley1-2mm,2,1,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Narrow,"Listed slipper shell as an empty gastropod: FarmC_Alley1_2mm_unknown1, FarmC_Alley1_2mm_unknown2. There is a tubeworm tube that is about 2cm long."
6/2/20,1/20/21,Elizabeth,C,Alley,1,12:20,Farm C Alley 1,C-Alley1-1mm,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Narrow,
6/2/20,1/20/21,Elizabeth,C,Alley,1,12:20,Farm C Alley 1,C-Alley1-0.5mm,0.5,1,NA,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Narrow,"Excluded unkown organism that might be part of a worm: FarmC_Alley1_0.5mm_unknown1. Image of annelid is FarmC_Alley1_0.5mm_worm. Two of the single clam valves appear to be same species: FarmC_Alley1_0.5mm_valve1, FarmC_Alley1_0.5mm_valve2"
6/2/20,1/25/21,Elizabeth,C,Alley,2,12:14,Farm C Alley 2,C-Alley2-2mm,2,1,NA,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,"Two of the single clam valves are the species we commonly see and one of the valves looks like a razor clam: FarmC_Alley2_2mm_clams, FarmC_Alley2_2mm_clams2. Maybe razor clam is Little Green Razor Clam or Common Razor Clam."
6/2/20,1/25/21,Elizabeth,C,Alley,2,12:14,Farm C Alley 2,C-Alley2-1mm,1,1,NA,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,,"Single clam valve is the common species that we've been seeing. Gastropod is one of the common ones we have seen: FarmC_Alley2_1mm_snail, FarmC_Alley2_1mm_snail2."
6/2/20,1/25/21,Elizabeth,C,Alley,2,12:14,Farm C Alley 2,C-Alley2-0.5mm,0.5,1,NA,2,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,,"Clam is the small common type of clam that we've been seeing. Gastropod is: FarmC_Alley2_0.5mm_snail, FarmC_Alley2_0.5mm_snail2"
6/2/20,1/25/21,Elizabeth,C,Alley,3,12:17,Farm C Alley 3,C-Alley3-2mm,2,1,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,Snail is the large species that we commonly see. Single clam valve is the small clam species that we commonly see. 
6/2/20,1/25/21,Elizabeth,C,Alley,3,12:17,Farm C Alley 3,C-Alley3-1mm,1,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Razor clam is transparent: FarmC_Alley3_1mm_razor
6/2/20,1/25/21,Elizabeth,C,Alley,3,12:17,Farm C Alley 3,C-Alley3-0.5mm,0.5,1,NA,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,Worms are typical species we've been seeing. Clam valves are from typical species we've seen.
6/2/20,1/18/21,Elizabeth,C,Rack,1,12:06,Farm C Rack 1,C-Rack1-2mm,2,1,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,Both gastropods are the species we have seen most often. I took a picture of the smaller gastropod: FarmC_Rack1_2mm_gastropod
6/2/20,1/18/21,Elizabeth,C,Rack,1,12:06,Farm C Rack 1,C-Rack1-1mm,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6/2/20,1/18/21,Elizabeth,C,Rack,1,12:06,Farm C Rack 1,C-Rack1-0.5mm,0.5,1,NA,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,,
6/2/20,1/25/21,Elizabeth,C,Rack,2,12:09,Farm C Rack 2,C-Rack2-2mm,2,1,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,Single clam valve: FarmC_Rack2_2mm_valve1. Gastropod is dark bron and has beaded/pimpled surface texture: FarmC_Rack2_2mm_snail; FarmC_Rack2_2mm_snail2. Empty tubeworm tubes are present.
6/2/20,1/25/21,Elizabeth,C,Rack,2,12:09,Farm C Rack 2,C-Rack2-1mm,1,1,NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Nematodes present. Single clam valve is same species as intact clam. Intact (both valves) clam is: FarmC_Rack2_1mm_clam2.
6/2/20,1/25/21,Elizabeth,C,Rack,2,12:09,Farm C Rack 2,C-Rack2-0.5mm,0.5,1,NA,2,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,,"Clam is same species as those in 1mm size class. Listed slipper shell as empty gastropod: FarmC_Rack2_0.5mm_slipper1, FarmC_Rack2_0.5mm_slipper2."
6/2/20,1/20/21,Elizabeth,C,Rack,3,12:12,Farm C Rack 3,C-Rack3-2mm,2,1,NA,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,,Tubeworm tube in sample is about 1cm long. Image of bivalve shells is FarmC_Rack2_2mm_bivalve. Gastropod species is one we've seen in other samples; see image FarmC_Rack2_2mm_gastropod.
6/2/20,1/20/21,Elizabeth,C,Rack,3,12:12,Farm C Rack 3,C-Rack3-1mm,1,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,"Nematodes present. Single clam valve is the species we see commonly, and image is FarmC_Rack2_1mm_clam"
6/2/20,1/20/21,Elizabeth,C,Rack,3,12:12,Farm C Rack 3,C-Rack3-0.5mm,0.5,1,NA,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,,One empty gastropod is same species we've seen in other samples - FarmC_Rack2_0.5mm_gastropod. Second empty gastropod is another species - FarmC_Rack2_0.5mm_gastrpod2. Third gastropod image is FarmC_Rack2_0.5mm_gastropod3. Worm image is FarmC_Rack2_0.5mm_worm. Ostracod image is FarmC_Rack2_0.5mm_ostracod. Nematodes present.